CAM	participantCAM	id	date	daughterID	motherID	intensity	agreement	isBidirectional	isDeletable	isActive
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	0b74f106-1b05-4bad-9733-4a15cc5fca48	2022-12-30T21:06:01Z	1918dcf5-267a-4e58-9f53-995179111087	6dc7d9a0-8240-4260-96bc-fe39563f605c	3	0	1	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	773084f1-2657-4ca4-ba25-dd8b4e596c78	2022-12-30T21:06:12Z	103b01c5-c475-4a9f-b7cd-2aa15f29f1d0	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	9	0	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	dd0487c2-ac36-4ba4-b07f-ef4abb8e511b	2022-12-30T21:06:25Z	f12ca355-e490-4e5c-979b-562ad4ebf266	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	2fe36b49-9c64-429b-b2aa-cc1b022ce33f	2022-12-30T21:06:27Z	8197f530-460b-42eb-9b25-abea1cc2b1e5	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	3	0	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	2b0cd1c4-02c2-4e08-bc05-6b54df46d5dd	2022-12-30T21:06:28Z	e178f31d-5ff8-45ec-8ec3-c8a974195f79	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	5fb0bebf-98e7-469e-9479-2ca58c3fec2d	2022-12-30T21:06:30Z	048a7347-67cb-4bcb-8bf7-1611c3f163f4	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	0e4de300-9e5e-43f1-91ef-6fd00737361e	2022-12-30T21:06:32Z	6dc7d9a0-8240-4260-96bc-fe39563f605c	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	cc124151-57dc-4a0f-9514-d91e8cc11061	2022-12-30T21:06:36Z	282ad8a9-b7d8-46c8-b5ba-748a204f864d	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	68baedfd-acfe-4528-afb5-432789e480c2	2022-12-30T21:06:39Z	b3d884b7-0d0d-403d-b09e-d4497ea9f117	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	b8afe4ce-cd93-4af2-bd2e-7d53abe42199	2022-12-30T21:06:41Z	ea2dea6b-c16a-47ae-89b5-26fbd8f587a7	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	3	1	0	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	1a8afb58-3b82-481e-9649-87d16b6a0ec5	2022-12-30T19:43:59Z	4ccf4d07-2270-4a14-ad20-2c18265f7b95	a9d5f434-c1cf-4ee9-8887-bbb07dc2b112	3	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	b3c261a6-74d1-4ae2-942a-5ffa9a2d73b7	2022-12-30T19:44:02Z	4ccf4d07-2270-4a14-ad20-2c18265f7b95	98065dec-b3c4-4dcf-92fb-1b054ae30394	3	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	864ea998-6aed-41ca-9bf4-2b0751706dfe	2022-12-30T19:44:05Z	4ccf4d07-2270-4a14-ad20-2c18265f7b95	c608c1f5-76e6-419e-ab0f-d5dc2a71c02f	3	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	8be3636f-ed48-4df0-98fd-1621c9f03b33	2022-12-30T19:44:08Z	b2424ee5-bfeb-4b6e-8f0f-109e73fc9db1	a9d5f434-c1cf-4ee9-8887-bbb07dc2b112	3	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	0ff63c59-63cd-49e1-8d4f-397d7f0a1b11	2022-12-30T19:44:12Z	4ccf4d07-2270-4a14-ad20-2c18265f7b95	8f09b43c-66e1-4187-a989-039c303d8948	3	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	b31c0304-ee07-417e-a91a-dfe4cfa75afe	2022-12-30T19:44:14Z	a9d5f434-c1cf-4ee9-8887-bbb07dc2b112	8f09b43c-66e1-4187-a989-039c303d8948	3	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	a5258a71-9659-44b3-8c76-055a5e4c8146	2022-12-30T19:44:17Z	b2424ee5-bfeb-4b6e-8f0f-109e73fc9db1	8f09b43c-66e1-4187-a989-039c303d8948	3	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	3ff28029-b05b-41af-978e-c5654d871448	2022-12-30T19:44:26Z	98065dec-b3c4-4dcf-92fb-1b054ae30394	8f09b43c-66e1-4187-a989-039c303d8948	3	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	f3ba7309-9c78-48fc-a31b-456ece00d801	2022-12-30T19:45:13Z	4ccf4d07-2270-4a14-ad20-2c18265f7b95	db1bfe3f-e4f9-4cc7-b3a4-a0425b825427	3	1	1	1	TRUE
91228334-0f71-4b56-904b-704424aa9172	21145	fb8594e9-1488-470f-9b74-57f6b17dcdbb	2022-12-30T19:45:15Z	db1bfe3f-e4f9-4cc7-b3a4-a0425b825427	8f09b43c-66e1-4187-a989-039c303d8948	3	1	1	1	TRUE
